"selective_pressure","population","gene","frequency"
"no NaCl","m9p_ma1_2","pflC",0
"no NaCl","m9p_ma1_3","pflC",0
"no NaCl","m9p_ma1_1","pgpC",0
"no NaCl","m9p_ma1_2","pgpC",0
"no NaCl","m9p_ma1_3","pgpC",0
"no NaCl","m9p_ma1_1","phnK",0
"no NaCl","m9p_ma1_2","phnK",0
"no NaCl","m9p_ma1_3","phnK",0
"no NaCl","m9p_ma1_1","phoE",0
"no NaCl","m9p_ma1_2","phoE",0
"no NaCl","m9p_ma1_3","phoE",0
"no NaCl","m9p_ma1_1","potI",0
"no NaCl","m9p_ma1_2","potI",0
"no NaCl","m9p_ma1_3","potI",0
"no NaCl","m9p_ma1_1","proS",0
"no NaCl","m9p_ma1_2","proS",0
"no NaCl","m9p_ma1_3","proS",0
"no NaCl","m9p_ma1_1","proV",0
"no NaCl","m9p_ma1_2","proV",1
"no NaCl","m9p_ma1_3","proV",0
"no NaCl","m9p_ma1_1","psd",0
"no NaCl","m9p_ma1_2","psd",0
"no NaCl","m9p_ma1_3","psd",0
"no NaCl","m9p_ma1_1","ptsA",0
"no NaCl","m9p_ma1_2","ptsA",0
"no NaCl","m9p_ma1_3","ptsA",0
"no NaCl","m9p_ma1_1","queE",0
"no NaCl","m9p_ma1_2","queE",0
"no NaCl","m9p_ma1_3","queE",0
"no NaCl","m9p_ma1_1","quuD",0
"no NaCl","m9p_ma1_2","quuD",0
"no NaCl","m9p_ma1_3","quuD",0
"no NaCl","m9p_ma1_1","rarA",0
"no NaCl","m9p_ma1_2","rarA",0
"no NaCl","m9p_ma1_3","rarA",0
"no NaCl","m9p_ma1_1","recN",0
"no NaCl","m9p_ma1_2","recN",0
"no NaCl","m9p_ma1_3","recN",0
"no NaCl","m9p_ma1_1","rne",0
"no NaCl","m9p_ma1_2","rne",0
"no NaCl","m9p_ma1_3","rne",0
"no NaCl","m9p_ma1_1","rpsA",0
"no NaCl","m9p_ma1_2","rpsA",0
"no NaCl","m9p_ma1_3","rpsA",0
"no NaCl","m9p_ma1_1","rsxC",0
"no NaCl","m9p_ma1_2","rsxC",0
"no NaCl","m9p_ma1_3","rsxC",0
"no NaCl","m9p_ma1_1","rutB",0
"no NaCl","m9p_ma1_2","rutB",0
"no NaCl","m9p_ma1_3","rutB",0
"no NaCl","m9p_ma1_1","sbcB",0
"no NaCl","m9p_ma1_2","sbcB",0
"no NaCl","m9p_ma1_3","sbcB",0
"no NaCl","m9p_ma1_1","secG",0
"no NaCl","m9p_ma1_2","secG",0
"no NaCl","m9p_ma1_3","secG",0
"no NaCl","m9p_ma1_1","selB",0
"no NaCl","m9p_ma1_2","selB",0
"no NaCl","m9p_ma1_3","selB",0
"no NaCl","m9p_ma1_1","sfmC",0
"no NaCl","m9p_ma1_2","sfmC",0
"no NaCl","m9p_ma1_3","sfmC",0
"no NaCl","m9p_ma1_1","sfsB",0
"no NaCl","m9p_ma1_2","sfsB",0
"no NaCl","m9p_ma1_3","sfsB",0
"no NaCl","m9p_ma1_1","smpB",0
"no NaCl","m9p_ma1_2","smpB",0
"no NaCl","m9p_ma1_3","smpB",0
"no NaCl","m9p_ma1_1","stfR",0
"no NaCl","m9p_ma1_2","stfR",0
"no NaCl","m9p_ma1_3","stfR",0
"no NaCl","m9p_ma1_1","tauD",0
"no NaCl","m9p_ma1_2","tauD",0
"no NaCl","m9p_ma1_3","tauD",0
"no NaCl","m9p_ma1_1","tilS",0
"no NaCl","m9p_ma1_2","tilS",0
"no NaCl","m9p_ma1_3","tilS",0
"no NaCl","m9p_ma1_1","tufB",0
"no NaCl","m9p_ma1_2","tufB",0
"no NaCl","m9p_ma1_3","tufB",0
"no NaCl","m9p_ma1_1","uacT",0
"no NaCl","m9p_ma1_2","uacT",0
"no NaCl","m9p_ma1_3","uacT",0
"no NaCl","m9p_ma1_1","ubiF",0
"no NaCl","m9p_ma1_2","ubiF",0
"no NaCl","m9p_ma1_3","ubiF",0
"no NaCl","m9p_ma1_1","ubiX",0
"no NaCl","m9p_ma1_2","ubiX",0
"no NaCl","m9p_ma1_3","ubiX",0
"no NaCl","m9p_ma1_1","ulaG",0
"no NaCl","m9p_ma1_2","ulaG",0
"no NaCl","m9p_ma1_3","ulaG",0
"no NaCl","m9p_ma1_1","waaA",0
"no NaCl","m9p_ma1_2","waaA",0
"no NaCl","m9p_ma1_3","waaA",0
"no NaCl","m9p_ma1_1","wcaM",0
"no NaCl","m9p_ma1_2","wcaM",0
"no NaCl","m9p_ma1_3","wcaM",0
"no NaCl","m9p_ma1_1","xapA",0
"no NaCl","m9p_ma1_2","xapA",0
"no NaCl","m9p_ma1_3","xapA",0
"no NaCl","m9p_ma1_1","xylA",0
"no NaCl","m9p_ma1_1","xylA",0
"no NaCl","m9p_ma1_1","xylA",0
"no NaCl","m9p_ma1_1","xylA",0
"no NaCl","m9p_ma1_2","xylA",0
"no NaCl","m9p_ma1_2","xylA",0
"no NaCl","m9p_ma1_2","xylA",0
"no NaCl","m9p_ma1_2","xylA",0
"no NaCl","m9p_ma1_3","xylA",0
"no NaCl","m9p_ma1_3","xylA",0
"no NaCl","m9p_ma1_3","xylA",0
"no NaCl","m9p_ma1_3","xylA",0
"no NaCl","m9p_ma1_1","yaaJ",0
"no NaCl","m9p_ma1_2","yaaJ",0
"no NaCl","m9p_ma1_3","yaaJ",0
"no NaCl","m9p_ma1_1","yagH",0
"no NaCl","m9p_ma1_2","yagH",0
"no NaCl","m9p_ma1_3","yagH",0
"no NaCl","m9p_ma1_1","yagJ",0
"no NaCl","m9p_ma1_2","yagJ",0
"no NaCl","m9p_ma1_3","yagJ",0
"no NaCl","m9p_ma1_1","yahB",0
"no NaCl","m9p_ma1_2","yahB",0
"no NaCl","m9p_ma1_3","yahB",0
"no NaCl","m9p_ma1_1","ybbW",0
"no NaCl","m9p_ma1_2","ybbW",0
"no NaCl","m9p_ma1_3","ybbW",0
"no NaCl","m9p_ma1_1","ybdN",0
"no NaCl","m9p_ma1_2","ybdN",0
"no NaCl","m9p_ma1_3","ybdN",0
"no NaCl","m9p_ma1_1","ybeF",0
"no NaCl","m9p_ma1_2","ybeF",0
"no NaCl","m9p_ma1_3","ybeF",0
"no NaCl","m9p_ma1_1","ybgQ",0
"no NaCl","m9p_ma1_2","ybgQ",0
"no NaCl","m9p_ma1_3","ybgQ",0
"no NaCl","m9p_ma1_1","ybhF",0
"no NaCl","m9p_ma1_2","ybhF",0
"no NaCl","m9p_ma1_3","ybhF",0
"no NaCl","m9p_ma1_1","ycjN",0
"no NaCl","m9p_ma1_2","ycjN",0
"no NaCl","m9p_ma1_3","ycjN",0
"no NaCl","m9p_ma1_1","yddB",0
"no NaCl","m9p_ma1_2","yddB",0
"no NaCl","m9p_ma1_3","yddB",0
"no NaCl","m9p_ma1_1","ydhT",0
"no NaCl","m9p_ma1_2","ydhT",0
"no NaCl","m9p_ma1_3","ydhT",0
"no NaCl","m9p_ma1_1","ydiY",0
"no NaCl","m9p_ma1_2","ydiY",0
"no NaCl","m9p_ma1_3","ydiY",0
"no NaCl","m9p_ma1_1","ydjK",0
"no NaCl","m9p_ma1_2","ydjK",0
"no NaCl","m9p_ma1_3","ydjK",0
"no NaCl","m9p_ma1_1","yeaH",0
"no NaCl","m9p_ma1_2","yeaH",0
"no NaCl","m9p_ma1_3","yeaH",0
"no NaCl","m9p_ma1_1","yeaM",0
"no NaCl","m9p_ma1_2","yeaM",0
"no NaCl","m9p_ma1_3","yeaM",0
"no NaCl","m9p_ma1_1","yebE",0
"no NaCl","m9p_ma1_2","yebE",0
"no NaCl","m9p_ma1_3","yebE",0
"no NaCl","m9p_ma1_1","yeeJ",0
"no NaCl","m9p_ma1_2","yeeJ",0
"no NaCl","m9p_ma1_3","yeeJ",0
"no NaCl","m9p_ma1_1","yeeN",0
"no NaCl","m9p_ma1_1","yeeN",0
"no NaCl","m9p_ma1_2","yeeN",0
"no NaCl","m9p_ma1_2","yeeN",0
"no NaCl","m9p_ma1_3","yeeN",0
"no NaCl","m9p_ma1_3","yeeN",0
"no NaCl","m9p_ma1_1","yfdL",0
"no NaCl","m9p_ma1_2","yfdL",0
"no NaCl","m9p_ma1_3","yfdL",0
"no NaCl","m9p_ma1_1","yfeA",0
"no NaCl","m9p_ma1_2","yfeA",0
"no NaCl","m9p_ma1_3","yfeA",0
"no NaCl","m9p_ma1_1","yfhM",0
"no NaCl","m9p_ma1_2","yfhM",0
"no NaCl","m9p_ma1_3","yfhM",0
"no NaCl","m9p_ma1_1","yfjW",0
"no NaCl","m9p_ma1_2","yfjW",0
"no NaCl","m9p_ma1_3","yfjW",0
"no NaCl","m9p_ma1_1","ygcN",0
"no NaCl","m9p_ma1_2","ygcN",0
"no NaCl","m9p_ma1_3","ygcN",0
"no NaCl","m9p_ma1_1","ygeK",0
"no NaCl","m9p_ma1_2","ygeK",0
"no NaCl","m9p_ma1_3","ygeK",0
"no NaCl","m9p_ma1_1","ygfI",0
"no NaCl","m9p_ma1_2","ygfI",0
"no NaCl","m9p_ma1_3","ygfI",0
"no NaCl","m9p_ma1_1","yghJ",0
"no NaCl","m9p_ma1_2","yghJ",0
"no NaCl","m9p_ma1_3","yghJ",0
"no NaCl","m9p_ma1_1","ygjK",0
"no NaCl","m9p_ma1_2","ygjK",0
"no NaCl","m9p_ma1_3","ygjK",0
"no NaCl","m9p_ma1_1","yhaC",0
"no NaCl","m9p_ma1_2","yhaC",0
"no NaCl","m9p_ma1_3","yhaC",0
"no NaCl","m9p_ma1_1","yhaH",0
"no NaCl","m9p_ma1_2","yhaH",0
"no NaCl","m9p_ma1_3","yhaH",0
"no NaCl","m9p_ma1_1","yhdY",0
"no NaCl","m9p_ma1_2","yhdY",0
"no NaCl","m9p_ma1_3","yhdY",0
"no NaCl","m9p_ma1_1","yhgF",0
"no NaCl","m9p_ma1_2","yhgF",0
"no NaCl","m9p_ma1_3","yhgF",0
"no NaCl","m9p_ma1_1","yiaO",0
"no NaCl","m9p_ma1_2","yiaO",0
"no NaCl","m9p_ma1_3","yiaO",0
"no NaCl","m9p_ma1_1","yidI",0
"no NaCl","m9p_ma1_2","yidI",0
"no NaCl","m9p_ma1_3","yidI",0
"no NaCl","m9p_ma1_1","yidL",0
"no NaCl","m9p_ma1_2","yidL",0
"no NaCl","m9p_ma1_3","yidL",0
"no NaCl","m9p_ma1_1","yieK",0
"no NaCl","m9p_ma1_2","yieK",0
